"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Burugadda V.R.; Pawar P.S.; Kumar A.; Bhati N.","Burugadda, Venkata Raghuveer (58656233600); Pawar, Prashant S. (58756240900); Kumar, Abhishek (57202087015); Bhati, Neha (58556381100)","58656233600; 58756240900; 57202087015; 58556381100","Predicting Hospital Readmission Risk for Heart Failure Patients Using Machine Learning Techniques: A Comparative Study of Classification Algorithms","2023","2023 2nd International Conference on Trends in Electrical, Electronics and Computer Engineering, TEECCON 2023","","","","223","228","5","54","10.1109/TEECCON59234.2023.10335817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181540379&doi=10.1109%2fTEECCON59234.2023.10335817&partnerID=40&md5=ff62d30dd09cfbc23ba317d24b21d67d","Conference paper","Final","","Scopus","2-s2.0-85181540379"
"Bhati N.; Duggar R.; Saber A.","Bhati, Neha (58556381100); Duggar, Ronak (58629689000); Saber, Abeer (57200597971)","58556381100; 58629689000; 57200597971","Empowering safety by embracing IoT for leak detection excellence","2023","Innovations in Machine Learning and IoT for Water Management","","","","231","251","20","9","10.4018/979-8-3693-1194-3.ch012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182301787&doi=10.4018%2f979-8-3693-1194-3.ch012&partnerID=40&md5=eb14e3c8c2fda4acfc87e661638b210f","Book chapter","Final","","Scopus","2-s2.0-85182301787"
"Mylavarapu R.T.; Pokhriyal A.; Dhargalkar R.R.; Bhati N.","Mylavarapu, Raghu T (57204810689); Pokhriyal, Aradhya (58541221200); Dhargalkar, Risha Ranganath (58541108800); Bhati, Neha (58556381100)","57204810689; 58541221200; 58541108800; 58556381100","Empowering Healthcare with AI: Addressing Challenges and Envisioning the Future","2023","2023 4th International Conference on Electronics and Sustainable Communication Systems, ICESC 2023 - Proceedings","","","","1393","1398","5","10","10.1109/ICESC57686.2023.10193228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168312826&doi=10.1109%2fICESC57686.2023.10193228&partnerID=40&md5=e1cbd630e883df8e6225ac9a701cd9ea","Conference paper","Final","","Scopus","2-s2.0-85168312826"
"Bhati N.","Bhati, Neha (58556381100)","58556381100","Fourier Transform Driven Bioacoustics for Frequency-Based Pest Deterrence in Sustainable Agriculture","2023","Journal of Innovative Image Processing","5","3","","290","305","15","0","10.36548/jiip.2023.3.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217978434&doi=10.36548%2fjiip.2023.3.005&partnerID=40&md5=8b37334b6ce6b94e083899cb292f0bb9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217978434"
"Burugadda V.R.; Mane P.M.; Kumar A.; Bhati N.","Burugadda, Venkata Raghuveer (58656233600); Mane, Priyanka Makrand (55788961400); Kumar, Abhishek (57202087015); Bhati, Neha (58556381100)","58656233600; 55788961400; 57202087015; 58556381100","A Machine Learning-Based Algorithm for Early Detection of Sepsis in Hospitalized Patients: Development and Evaluation","2023","2023 1st International Conference on Circuits, Power, and Intelligent Systems, CCPIS 2023","","","","","","","34","10.1109/CCPIS59145.2023.10291447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177570955&doi=10.1109%2fCCPIS59145.2023.10291447&partnerID=40&md5=eaccf799a78414af25f5ff4822537bde","Conference paper","Final","","Scopus","2-s2.0-85177570955"
"Bhati N.; Vyas N.; Yadav R.; Sharma R.; Sundar K.","Bhati, Neha (58556381100); Vyas, Narayan (57221967474); Yadav, Rajesh (57198157377); Sharma, Rakesh (59033806700); Sundar, Koushik (59379613400)","58556381100; 57221967474; 57198157377; 59033806700; 59379613400","Revolutionizing agricultural and environmental analytics with synthetic aperture radar (SAR): innovations, challenges, and future directions","2025","RADAR: Remote Sensing Data Analysis with Artificial Intelligence","","","","229","244","15","0","10.1515/9783111572970-016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025279425&doi=10.1515%2f9783111572970-016&partnerID=40&md5=87d48cd66444d136f492aa298d4b643c","Book chapter","Final","","Scopus","2-s2.0-105025279425"
"Sundar K.; Vyas N.; Bhati N.","Sundar, Koushik (59379613400); Vyas, Narayan (57221967474); Bhati, Neha (58556381100)","59379613400; 57221967474; 58556381100","Real-Time Earthquake Monitoring with Remote Sensing and AI Technology","2025","Artificial Intelligence in Remote Sensing for Disaster Management","","","","303","322","19","0","10.1002/9781394287222.ch17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015032787&doi=10.1002%2f9781394287222.ch17&partnerID=40&md5=d78e4afe27c5fc1e6afce4cf106d2bb7","Book chapter","Final","","Scopus","2-s2.0-105015032787"
"Punugoti R.; Duggar R.; Dhargalkar R.R.; Bhati N.","Punugoti, Rajasrikar (58513638000); Duggar, Ronak (58629689000); Dhargalkar, Risha Ranganath (58541108800); Bhati, Neha (58556381100)","58513638000; 58629689000; 58541108800; 58556381100","Intelligent Healthcare: Using NLP and ML to Power Chatbots for Improved Assistance","2023","2023 International Conference on IoT, Communication and Automation Technology, ICICAT 2023","","","","","","","14","10.1109/ICICAT57735.2023.10263708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174847860&doi=10.1109%2fICICAT57735.2023.10263708&partnerID=40&md5=adfaa325544820190384c11fb9a0e14d","Conference paper","Final","","Scopus","2-s2.0-85174847860"
"Bhati N.; Vyas N.; Yadav S.","Bhati, Neha (58556381100); Vyas, Narayan (57221967474); Yadav, Surendra (59072957000)","58556381100; 57221967474; 59072957000","Tools and Software Essential Resources for AI Integration","2026","Generative AI for Remote Sensing of the Environment: Algorithms and Applications","","","","98","118","20","0","10.1201/9781003616207-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032947278&doi=10.1201%2f9781003616207-7&partnerID=40&md5=36d43cbbd4211282c18ead448ab28684","Book chapter","Final","","Scopus","2-s2.0-105032947278"
"Sood V.; Srivastav A.L.; Kaur R.; Bhati N.","Sood, Vishakha (57195513577); Srivastav, Arun Lal (55025139900); Kaur, Ravneet (57220161581); Bhati, Neha (58556381100)","57195513577; 55025139900; 57220161581; 58556381100","Generative AI for Remote Sensing of the Environment: Algorithms and Applications","2026","Generative AI for Remote Sensing of the Environment: Algorithms and Applications","","","","1","307","306","0","10.1201/9781003616207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032925355&doi=10.1201%2f9781003616207&partnerID=40&md5=9cbaa0e555fb5cb59e2e56cf96d41098","Book","Final","","Scopus","2-s2.0-105032925355"
